ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x,FixDurSum,FixCount,SaccAmpMean,SaccMaxVelPeak,SaccCount,RegCountSum,ROIFixDurSum
m1q3,MCI,1,3,0.0401176223482461,0.0556605755093467,0.8638743455497382,0.7811320754716982,2.076154989455468,2.000149489423135,4277.000000000001,12,2.8078510417390667,156.8623959738988,17,12,8.190999999999999
m1q4,MCI,1,4,0.0463927067425609,0.1138183164422231,0.7855361596009975,0.8229314901402724,2.4312755418545025,2.4293099740864057,21876.0,38,3.4414953438039166,130.65183287097437,59,42,37.282999999999994
m1q5,MCI,1,5,0.0332986472424557,0.0837669094693028,0.84375,0.7080745341614907,1.7921951936824647,1.5617228964475207,4764.0,8,1.2633425310022024,97.95431341598264,13,16,7.945
m10q1,MCI,10,1,0.0904066115702479,0.1119074380165289,0.8885476086002633,0.8593879239040529,2.719288630022309,2.521366075954933,30806.0,16,0.4294948575496471,63.07159987538394,17,17,34.72999999999999
m10q2,MCI,10,2,0.0232216245113435,0.0627819172040495,0.8330935251798561,0.7972325705162321,2.5908761332882424,2.4246395987696805,27865.0,38,2.0826427446582865,112.83029116060182,67,52,44.369999999999976
m10q3,MCI,10,3,0.0318388564002599,0.0494853117198454,0.8367346938775511,0.6945404284727021,2.181529983629233,1.864415804708074,14057.000000000002,24,2.0344438831434646,110.38597262979792,31,23,21.391
m10q4,MCI,10,4,0.0174686167265017,0.0620161709480553,0.7406896551724138,0.701615141255481,1.979040531932107,1.846654617795808,40094.0,65,3.416697640112848,138.92941509145388,128,87,73.22299999999998
m10q5,MCI,10,5,0.048828125,0.087890625,0.74,0.7777777777777778,1.463547826239736,1.836994438663493,5010.999999999999,11,2.4322443349884635,119.0521999284079,14,16,8.678999999999998
m11q1,MCI,11,1,0.0718455946606552,0.1336482567343372,0.920676890534109,0.9027764616696674,2.91988312899876,2.8218495394329395,31544.0,16,0.3707904172679171,59.20493550321689,17,24,35.33999999999999
m11q2,MCI,11,2,0.026780400714144,0.0754590138640922,0.8131687242798354,0.8063385424273405,2.2099323525481323,2.168610873621388,44127.0,30,3.240760040189386,91.7267794366338,35,38,52.807999999999964
m11q3,MCI,11,3,0.03781989693423,0.0600052406323696,0.8891454965357968,0.8020378457059679,2.311448605830233,1.8279652835660247,10022.0,10,1.7772086119260166,96.91991275358129,15,8,12.836
m11q4,MCI,11,4,0.0105324870985554,0.039178125149125,0.7385113268608414,0.6199756394640682,1.8626900937541704,1.4160257320443708,26524.0,59,3.209314721169421,145.3366044482799,97,67,49.99399999999997
